datetime,record,volts,temp,spCond,pH,pHmV,DOmgL,ODO,turb,fDOM,CHL,NO3,lat,lon,reach
2019-02-18T13:22:09Z,7053,14.22,10.703,190.21,7.53,-38.84,9.03,81.36,42.11,75.08,1.24,58.06,37.31197,-120.933,2
2019-02-18T13:22:11Z,7054,14.32,10.705,190.22,7.53,-38.84,9.03,81.37,42.08,75.06,1.21,59.51,37.31197,-120.9332,2
2019-02-18T13:22:13Z,7055,14.3,10.707,190.21,7.53,-38.84,9.03,81.38,42.35,75.01,1.21,60.91,37.31195,-120.9333,2
2019-02-18T13:22:15Z,7056,14.3,10.708,190.18,7.53,-38.85,9.03,81.4,42.56,74.94,1.23,59.21,37.31194,-120.9334,2
2019-02-18T13:22:17Z,7057,14.3,10.708,190.19,7.53,-38.86,9.03,81.42,42.92,74.86,1.25,58.64,37.31192,-120.9336,2
2019-02-18T13:22:19Z,7058,14.35,10.707,190.2,7.53,-38.87,9.04,81.45,43.23,74.77,1.28,59.46,37.3119,-120.9337,2
2019-02-18T13:22:21Z,7059,14.36,10.707,190.24,7.53,-38.88,9.04,81.48,43.48,74.69,1.27,59.17,37.31188,-120.9339,2
2019-02-18T13:22:23Z,7060,14.22,10.707,190.25,7.53,-38.9,9.05,81.51,43.44,74.67,1.27,59.46,37.31185,-120.9341,2
2019-02-18T13:22:25Z,7061,14.26,10.707,190.24,7.53,-38.92,9.05,81.54,43.28,74.66,1.24,59.83,37.31181,-120.9343,2
2019-02-18T13:22:27Z,7062,14.37,10.707,190.2,7.53,-38.91,9.05,81.56,43.26,74.68,1.22,59.79,37.31178,-120.9346,2
2019-02-18T13:22:29Z,7063,14.27,10.708,190.21,7.53,-38.92,9.05,81.58,43.21,74.67,1.19,58.79,37.31174,-120.9348,2
2019-02-18T13:22:31Z,7064,14.28,10.709,190.2,7.53,-38.93,9.05,81.6,42.76,74.68,1.17,59.04,37.31171,-120.935,2
2019-02-18T13:22:33Z,7065,14.25,10.709,190.23,7.53,-38.94,9.05,81.6,42.69,74.72,1.16,59.23,37.31167,-120.9352,2
2019-02-18T13:22:35Z,7066,14.4,10.709,190.21,7.53,-38.94,9.06,81.61,42.42,74.77,1.17,57.9,37.31162,-120.9354,2
2019-02-18T13:22:37Z,7067,14.42,10.71,190.25,7.53,-38.93,9.06,81.61,42.2,74.83,1.17,59.27,37.31156,-120.9356,2
2019-02-18T13:22:39Z,7068,14.36,10.709,190.23,7.53,-38.92,9.06,81.61,42.34,74.91,1.17,58.73,37.31149,-120.9358,2
2019-02-18T13:22:41Z,7069,14.38,10.709,190.26,7.53,-38.91,9.06,81.61,42.37,74.96,1.2,58.75,37.31141,-120.936,2
2019-02-18T13:22:43Z,7070,14.27,10.708,190.28,7.53,-38.89,9.05,81.6,42.48,74.99,1.22,57.15,37.31132,-120.9363,2
2019-02-18T13:22:45Z,7071,14.4,10.707,190.3,7.53,-38.85,9.05,81.59,42.76,74.97,1.25,58.93,37.31123,-120.9365,2
2019-02-18T13:22:47Z,7072,14.42,10.706,190.28,7.53,-38.84,9.05,81.59,42.73,74.92,1.24,58.59,37.31114,-120.9367,2
2019-02-18T13:22:49Z,7073,14.39,10.706,190.32,7.53,-38.86,9.05,81.58,42.89,74.93,1.26,59.29,37.31104,-120.9369,2
2019-02-18T13:22:51Z,7074,14.51,10.705,190.31,7.53,-38.83,9.05,81.57,43.02,74.89,1.26,58.48,37.31093,-120.9371,2
2019-02-18T13:22:53Z,7075,14.38,10.706,190.28,7.53,-38.83,9.05,81.56,43.04,74.85,1.25,60.77,37.31081,-120.9373,2
2019-02-18T13:22:55Z,7076,14.27,10.706,190.25,7.53,-38.82,9.05,81.56,42.94,74.83,1.24,57.98,37.31071,-120.9375,2
2019-02-18T13:22:57Z,7077,14.27,10.706,190.23,7.53,-38.82,9.05,81.56,42.93,74.8,1.22,58.89,37.31065,-120.9377,2
2019-02-18T13:22:59Z,7078,14.32,10.706,190.24,7.53,-38.82,9.05,81.55,42.89,74.75,1.21,58.95,37.3106,-120.938,2
2019-02-18T13:23:01Z,7079,14.4,10.705,190.26,7.53,-38.82,9.05,81.54,42.66,74.73,1.19,58.44,37.31057,-120.9382,2
2019-02-18T13:23:03Z,7080,14.27,10.705,190.25,7.53,-38.83,9.05,81.54,42.68,74.72,1.16,NaN,37.31055,-120.9384,2
2019-02-18T13:23:05Z,7081,14.29,10.703,190.28,7.53,-38.83,9.05,81.52,42.51,74.76,1.13,57.27,37.31055,-120.9387,2
2019-02-18T13:23:07Z,7082,14.36,10.701,190.33,7.53,-38.84,9.05,81.51,42.47,74.81,1.12,57.31,37.31059,-120.9389,2
2019-02-18T13:23:09Z,7083,14.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.38,37.31067,-120.9391,2
2019-02-18T13:23:10Z,7084,14.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.38,37.31071,-120.9392,2
2019-02-18T13:23:11Z,7085,14.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.97,37.31077,-120.9393,2
2019-02-18T13:23:12Z,7086,14.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.15,37.31083,-120.9394,2
2019-02-18T13:23:13Z,7087,14.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.18,37.31089,-120.9394,2
2019-02-18T13:23:14Z,7088,14.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.58,37.31094,-120.9395,2
2019-02-18T13:23:15Z,7089,14.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.77,37.311,-120.9396,2
2019-02-18T13:23:16Z,7090,14.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,37.31105,-120.9396,2
2019-02-18T13:23:17Z,7091,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.49,37.3111,-120.9397,2
2019-02-18T13:23:18Z,7092,14.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.35,37.31115,-120.9398,2
2019-02-18T13:23:19Z,7093,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.17,37.3112,-120.9398,2
2019-02-18T13:23:20Z,7094,14.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.03,37.31126,-120.9399,2
2019-02-18T13:23:21Z,7095,14.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.29,37.31131,-120.9399,2
2019-02-18T13:23:22Z,7096,14.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.45,37.31137,-120.9399,2
2019-02-18T13:23:23Z,7097,14.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.92,37.31143,-120.94,2
2019-02-18T13:23:24Z,7098,14.37,NA,190.38,7.52,-38.77,9.04,81.38,42.8,74.8,1.2,60.15,37.31149,-120.94,2
2019-02-18T13:23:25Z,7099,14.37,10.679,190.37,7.52,-38.76,9.04,81.37,42.7,74.8,1.19,59.02,37.31155,-120.94,2
2019-02-18T13:23:26Z,7100,14.44,10.678,190.38,7.52,-38.75,9.04,81.36,42.51,74.79,1.18,60.16,37.3116,-120.94,2
2019-02-18T13:23:27Z,7101,14.24,10.677,190.38,7.52,-38.74,9.03,81.36,42.43,74.79,1.18,58.31,37.31166,-120.94,2
2019-02-18T13:23:28Z,7102,14.35,10.677,190.39,7.52,-38.74,9.03,81.35,42.4,74.79,1.17,58.59,37.31171,-120.94,2
2019-02-18T13:23:29Z,7103,14.45,10.676,190.38,7.52,-38.74,9.03,81.34,42.41,74.79,1.19,59.88,37.31176,-120.94,2
2019-02-18T13:23:30Z,7104,14.37,10.676,190.4,7.52,-38.74,9.03,81.34,42.32,74.81,1.18,58.54,37.31181,-120.9399,2
2019-02-18T13:23:31Z,7105,14.22,10.676,190.42,7.52,-38.73,9.03,81.33,42.32,74.83,1.18,59.1,37.31186,-120.9399,2
