datetime,record,volts,lat,lon,temp,spCond,pH,pHmV,DOmgL,ODO,turb,fDOM,CHL,NO3,reach
2019-03-28T07:45:02Z,338,14.32,37.30999,-120.93054,16.2,341.56,7.57,-47.58,8.41,85.61,14.76,36.16,0.6,NA,1
2019-03-28T07:45:03Z,339,14.23,37.31001,-120.93057,16.2,341.6,7.57,-47.58,8.41,85.63,14.89,36.21,0.61,21.25,1
2019-03-28T07:45:05Z,340,14.39,37.31004,-120.93054,16.199,341.79,7.57,-47.59,8.41,85.65,15.03,36.18,0.62,21.55,1
2019-03-28T07:45:07Z,341,14.14,37.31007,-120.93061,16.197,341.95,7.57,-47.6,8.41,85.66,15.18,36.26,0.64,21.06,1
2019-03-28T07:45:09Z,342,14.09,37.31008,-120.93076,16.196,342.12,7.57,-47.6,8.41,85.67,15.25,36.26,0.66,21.28,1
2019-03-28T07:45:11Z,343,14.36,37.31009,-120.93071,16.195,342.3,7.57,-47.6,8.41,85.67,15.19,36.3,0.66,20.66,1
2019-03-28T07:45:12Z,344,14.21,37.3101,-120.93073,16.195,342.34,7.57,-47.6,8.41,85.67,15.14,36.26,0.68,21.11,1
2019-03-28T07:45:14Z,345,14.33,37.3101,-120.93087,16.194,342.38,7.57,-47.6,8.41,85.66,14.97,36.13,0.69,20.82,1
2019-03-28T07:45:16Z,346,14.31,37.31009,-120.93081,16.195,342.45,7.57,-47.6,8.41,85.64,14.82,36.08,0.69,21.01,1
2019-03-28T07:45:18Z,347,14.3,37.31007,-120.93083,16.195,342.41,7.57,-47.6,8.41,85.62,14.67,36.01,0.67,21.21,1
2019-03-28T07:45:20Z,348,14.42,37.31006,-120.93083,16.196,342.32,7.57,-47.6,8.41,85.61,14.57,35.99,0.68,21.24,1
2019-03-28T07:45:22Z,349,14.4,37.31006,-120.93081,16.198,342.19,7.57,-47.59,8.4,85.59,14.49,35.94,0.69,21.21,1
2019-03-28T07:45:24Z,350,14.3,37.31009,-120.93089,16.199,342.09,7.57,-47.59,8.4,85.58,14.37,35.81,0.66,21.07,1
2019-03-28T07:45:26Z,351,14.29,37.31011,-120.93085,16.2,342.01,7.57,-47.6,8.4,85.56,14.37,35.63,0.64,21.1,1
2019-03-28T07:45:28Z,352,14.25,37.31012,-120.93071,16.2,341.92,7.57,-47.61,8.4,85.55,14.34,35.48,0.64,21.2,1
2019-03-28T07:45:30Z,353,14.21,37.31012,-120.93078,16.2,341.9,7.57,-47.62,8.4,85.55,14.34,35.4,0.63,21.05,1
2019-03-28T07:45:32Z,354,14.24,37.31011,-120.93075,16.2,341.83,7.57,-47.64,8.4,85.54,14.28,35.35,0.65,21.04,1
2019-03-28T07:45:34Z,355,14.29,37.31009,-120.93062,16.2,341.81,7.57,-47.66,8.4,85.53,14.28,35.3,0.63,21.06,1
2019-03-28T07:45:36Z,356,14.2,37.31006,-120.93061,16.199,341.84,7.57,-47.68,8.4,85.52,14.27,35.28,0.63,21.36,1
2019-03-28T07:45:38Z,357,14.19,37.31003,-120.93062,16.199,341.89,7.57,-47.69,8.4,85.51,14.4,35.19,0.66,21.23,1
2019-03-28T07:45:40Z,358,14.31,37.31001,-120.93075,16.198,341.9,7.57,-47.71,8.4,85.51,14.52,35.06,0.66,21.35,1
2019-03-28T07:45:42Z,359,14.25,37.31,-120.93079,16.198,341.9,7.58,-47.72,8.4,85.51,14.62,34.98,0.64,21.04,1
2019-03-28T07:45:44Z,360,14.17,37.31,-120.93073,16.198,341.86,7.58,-47.74,8.4,85.51,14.7,35,0.64,21.17,1
2019-03-28T07:45:46Z,361,14.29,37.31002,-120.93086,16.198,341.92,7.58,-47.75,8.4,85.51,14.78,34.94,0.64,20.91,1
2019-03-28T07:45:48Z,362,14.3,37.31004,-120.93089,16.198,341.92,7.58,-47.76,8.4,85.51,14.76,34.85,0.63,20.82,1
2019-03-28T07:45:50Z,363,14.26,37.31006,-120.93081,16.199,341.87,7.58,-47.76,8.4,85.52,14.84,34.79,0.63,21.04,1
2019-03-28T07:45:52Z,364,14.17,37.31008,-120.93083,16.2,341.84,7.58,-47.77,8.4,85.52,14.79,34.68,0.63,20.87,1
2019-03-28T07:45:54Z,365,14.26,37.31012,-120.93096,16.2,341.82,7.58,-47.77,8.4,85.53,14.63,34.65,0.63,20.94,1
2019-03-28T07:45:56Z,366,14.34,37.31015,-120.93099,16.201,341.8,7.58,-47.78,8.4,85.52,14.56,34.6,0.62,20.7,1
2019-03-28T07:45:58Z,367,14.3,37.31018,-120.93093,16.201,341.8,7.58,-47.78,8.4,85.52,14.4,34.54,0.61,20.83,1
2019-03-28T07:46:00Z,368,14.41,37.31021,-120.93197,16.202,341.72,7.58,-47.8,8.4,85.53,14.4,34.53,0.61,20.98,1
2019-03-28T07:46:02Z,369,14.37,37.31024,-120.93101,16.202,341.69,7.58,-47.81,8.4,85.53,14.34,34.53,0.59,20.92,1
2019-03-28T07:46:04Z,370,14.35,37.31026,-120.93115,16.202,341.71,7.58,-47.83,8.4,85.53,14.34,34.51,0.59,20.84,1
2019-03-28T07:46:06Z,371,14.26,37.3103,-120.93119,16.202,341.72,7.58,-47.84,8.4,85.53,14.31,34.48,0.6,20.97,1
2019-03-28T07:46:08Z,372,14.36,37.31032,-120.93113,16.202,341.75,7.58,-47.84,8.4,85.52,14.31,34.49,0.61,21.06,1
2019-03-28T07:46:10Z,373,14.36,37.31036,-120.93126,16.202,341.77,7.58,-47.85,8.4,85.53,14.36,34.46,0.61,21.03,1
2019-03-28T07:46:12Z,374,14.41,37.3104,-120.93129,16.202,341.78,7.58,-47.85,8.4,85.52,14.37,34.48,0.62,20.92,1
2019-03-28T07:46:14Z,375,14.41,37.31044,-120.93122,16.202,341.82,7.58,-47.84,8.4,85.52,14.33,34.44,0.63,21.08,1
2019-03-28T07:46:16Z,376,14.34,37.31048,-120.93135,16.202,341.81,7.58,-47.84,8.4,85.51,14.34,34.47,0.63,20.81,1
2019-03-28T07:46:18Z,377,14.38,37.31052,-120.93138,16.202,341.85,7.58,-47.83,8.4,85.5,14.34,34.55,0.62,20.99,1
2019-03-28T07:46:20Z,378,14.38,37.31056,-120.93131,16.202,341.9,7.58,-47.82,8.39,85.49,14.27,34.52,0.63,20.89,1
2019-03-28T07:46:22Z,379,14.37,37.3106,-120.93134,16.201,341.97,7.58,-47.81,8.39,85.48,14.27,34.53,0.61,21.25,1
2019-03-28T07:46:24Z,380,14.25,37.31064,-120.93146,16.201,342.05,7.58,-47.79,8.39,85.47,14.21,34.51,0.62,20.87,1
2019-03-28T07:46:26Z,381,14.36,37.31068,-120.93148,16.2,342.06,7.58,-47.78,8.39,85.48,14.23,34.53,0.62,20.79,1
2019-03-28T07:46:28Z,382,14.37,37.31073,-120.9314,16.2,342.14,7.58,-47.77,8.39,85.48,14.26,34.55,0.61,21.12,1
2019-03-28T07:46:30Z,383,14.26,37.31077,-120.93141,16.2,342.19,7.58,-47.77,8.39,85.48,14.2,34.57,0.61,21.09,1
2019-03-28T07:46:32Z,384,14.24,37.31082,-120.93142,16.199,342.2,7.58,-47.75,8.39,85.48,14.19,34.55,0.63,21.29,1
2019-03-28T07:46:34Z,385,14.35,37.31087,-120.93142,16.199,342.27,7.58,-47.74,8.39,85.47,14.24,34.61,0.62,21.02,1
2019-03-28T07:46:36Z,386,14.31,37.31091,-120.93142,16.198,342.33,7.58,-47.74,8.39,85.46,14.29,34.56,0.62,21.22,1
2019-03-28T07:46:38Z,387,14.23,37.31096,-120.93141,16.198,342.42,7.58,-47.73,8.39,85.45,14.26,34.61,0.64,21.14,1
2019-03-28T07:46:40Z,388,14.37,37.311,-120.93149,16.198,342.57,7.58,-47.72,8.39,85.43,14.33,34.73,0.67,21.05,1
2019-03-28T07:46:42Z,389,14.34,37.31104,-120.93147,16.197,342.58,7.58,-47.71,8.39,85.41,14.31,34.74,0.66,21.07,1
2019-03-28T07:46:44Z,390,14.32,37.31107,-120.93146,16.198,342.63,7.57,-47.7,8.39,85.4,14.38,34.84,0.66,21.07,1
2019-03-28T07:46:46Z,391,14.42,37.31112,-120.93146,16.198,342.62,7.57,-47.7,8.39,85.38,14.44,34.9,0.67,21.06,1
2019-03-28T07:46:48Z,392,14.32,37.31115,-120.93146,16.198,342.65,7.57,-47.69,8.38,85.38,14.47,34.93,0.65,21.12,1
2019-03-28T07:46:50Z,393,14.34,37.3112,-120.93147,16.198,342.64,7.57,-47.69,8.38,85.38,14.43,34.93,0.63,21.15,1
2019-03-28T07:46:52Z,394,14.23,37.31124,-120.93148,16.198,342.6,7.57,-47.68,8.38,85.37,14.4,34.96,0.62,21.07,1
2019-03-28T07:46:54Z,395,14.33,37.311279999999996,-120.9314,16.199,342.54,7.57,-47.68,8.38,85.38,14.38,34.96,0.61,21.07,1
2019-03-28T07:46:56Z,396,14.32,37.31132,-120.93142,16.199,342.52,7.57,-47.68,8.38,85.39,14.3,35.06,0.64,21.37,1
2019-03-28T07:46:58Z,397,14.36,37.31136,-120.93143,16.199,342.52,7.57,-47.68,8.39,85.41,14.31,35.03,0.63,21.21,1
2019-03-28T07:47:00Z,398,14.35,37.31141,-120.93143,16.2,342.51,7.57,-47.69,8.39,85.42,14.28,35.01,0.65,21.11,1
2019-03-28T07:47:02Z,399,14.37,37.31146,-120.93144,16.2,342.47,7.57,-47.7,8.39,85.43,14.24,35.04,0.65,21.33,1
2019-03-28T07:47:04Z,400,14.3,37.3115,-120.93154,16.2,342.45,7.58,-47.72,8.39,85.45,14.27,35.03,0.65,21.08,1
2019-03-28T07:47:06Z,401,14.37,37.31154,-120.93156,16.2,342.46,7.58,-47.74,8.39,85.46,14.3,35.01,0.67,20.97,1
2019-03-28T07:47:08Z,402,14.27,37.31157,-120.93158,16.2,342.49,7.58,-47.76,8.39,85.47,14.33,35.02,0.65,21.12,1
2019-03-28T07:47:10Z,403,14.23,37.3116,-120.93152,16.2,342.47,7.58,-47.78,8.39,85.49,14.34,35.01,0.65,20.98,1
2019-03-28T07:47:12Z,404,14.24,37.31164,-120.93165,16.2,342.43,7.58,-47.79,8.4,85.49,14.35,35,0.64,20.96,1
2019-03-28T07:47:14Z,405,14.32,37.31166,-120.93169,16.2,342.43,7.58,-47.81,8.4,85.5,14.35,35,0.65,21.05,1
2019-03-28T07:47:16Z,406,14.23,37.31168,-120.93164,16.2,342.43,7.58,-47.81,8.4,85.51,14.32,34.97,0.63,20.94,1
2019-03-28T07:47:18Z,407,14.42,37.31172,-120.93178,16.201,342.39,7.58,-47.82,8.4,85.51,14.37,34.98,0.61,21.2,1
2019-03-28T07:47:20Z,408,14.25,37.31174,-120.93171,16.201,342.38,7.58,-47.82,8.4,85.51,14.39,34.99,0.64,20.75,1
2019-03-28T07:47:22Z,409,14.4,37.31178,-120.93185,16.201,342.37,7.58,-47.82,8.4,85.51,14.31,34.97,0.64,21.31,1
2019-03-28T07:47:24Z,410,14.4,37.31181,-120.93188,16.202,342.38,7.58,-47.82,8.4,85.51,14.36,34.94,0.64,21.08,1
2019-03-28T07:47:26Z,411,14.42,37.31184,-120.93182,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.11,1
2019-03-28T07:47:27Z,412,14.26,37.31186,-120.93195,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.21,1
2019-03-28T07:47:28Z,413,14.39,37.31187,-120.93197,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.17,1
2019-03-28T07:47:29Z,414,14.37,37.31188,-120.93199,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.08,1
2019-03-28T07:47:30Z,415,14.37,37.31189,-120.93191,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.04,1
2019-03-28T07:47:31Z,416,14.23,37.3119,-120.93194,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.05,1
2019-03-28T07:47:32Z,417,14.32,37.31192,-120.93296,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.28,1
2019-03-28T07:47:33Z,418,14.45,37.31193,-120.93299,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,1
2019-03-28T07:47:34Z,419,14.23,37.31194,-120.93201,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.21,1
2019-03-28T07:47:35Z,420,14.29,37.31196,-120.93204,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.17,1
2019-03-28T07:47:36Z,421,14.24,37.31197,-120.93216,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.22,1
2019-03-28T07:47:37Z,422,14.31,37.31198,-120.93219,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.11,1
2019-03-28T07:47:38Z,423,14.32,37.312,-120.93211,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77,1
2019-03-28T07:47:39Z,424,14.26,37.31201,-120.93213,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.95,1
2019-03-28T07:47:40Z,425,14.4,37.31202,-120.93226,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.23,1
2019-03-28T07:47:41Z,426,14.34,37.31204,-120.93228,16.2,342.57,7.58,-47.82,8.39,85.49,14.2,35.02,0.64,21.13,1
2019-03-28T07:47:42Z,427,14.36,37.31205,-120.93221,16.2,342.55,7.58,-47.82,8.39,85.49,14.18,35.02,0.64,21.24,1
2019-03-28T07:47:43Z,428,14.24,37.31206,-120.93223,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.14,2
2019-03-28T07:47:44Z,429,14.36,37.31206,-120.93236,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1,2
2019-03-28T07:47:45Z,430,14.24,37.31207,-120.93239,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.96,2
2019-03-28T07:47:46Z,431,14.32,37.31207,-120.93231,16.199,342.6,7.58,-47.83,8.39,85.47,14.26,35.08,0.66,21.21,2
2019-03-28T07:47:48Z,432,14.25,37.31208,-120.93247,16.199,342.61,7.58,-47.83,8.39,85.47,14.27,35.07,0.66,21.31,2
2019-03-28T07:47:49Z,433,14.32,37.31208,NA,NA,342.6,7.58,-47.83,8.39,85.48,14.27,35.06,0.66,21.4,2
2019-03-28T07:47:50Z,434,14.38,37.31208,-120.93242,16.199,342.57,7.58,-47.83,8.39,85.48,14.26,35.06,0.66,21.04,2
2019-03-28T07:47:51Z,435,14.25,37.31208,-120.93255,16.199,342.58,7.58,-47.83,8.39,85.48,14.22,35.06,0.64,21.26,2
2019-03-28T07:47:52Z,436,14.23,37.31208,-120.93258,16.199,342.58,7.58,-47.83,8.39,85.48,14.22,35.07,0.64,21.15,2
2019-03-28T07:47:53Z,437,14.38,37.31207,-120.93251,16.198,342.58,7.58,-47.83,8.39,85.48,14.25,35.1,0.65,21.29,2
2019-03-28T07:47:54Z,438,14.34,37.31207,-120.93254,16.198,342.61,7.58,-47.83,8.39,85.48,14.21,35.09,0.67,NA,2
2019-03-28T07:47:55Z,439,14.32,37.31206,-120.93267,16.198,342.64,7.58,-47.82,8.39,85.48,14.2,35.12,0.67,NA,2
2019-03-28T07:47:56Z,440,14.38,37.31206,NA,16.197,342.67,7.58,-47.82,8.39,85.48,14.18,35.15,0.68,21,2
2019-03-28T07:47:57Z,441,14.32,37.31206,-120.93262,16.197,342.73,7.58,-47.82,8.39,85.48,14.2,35.14,0.68,21.1,2
2019-03-28T07:47:58Z,442,14.28,37.31206,-120.93275,16.197,342.74,7.58,-47.82,8.39,85.48,14.18,35.18,0.67,21.02,2
2019-03-28T07:47:59Z,443,14.32,37.31206,-120.93278,16.196,342.76,7.58,-47.82,8.39,85.47,14.13,35.17,0.66,21.27,2
2019-03-28T07:48:00Z,444,14.28,37.31206,-120.93271,16.196,342.79,7.58,-47.82,8.39,85.47,14.13,35.17,0.67,21.46,2
2019-03-28T07:48:01Z,445,14.26,37.31206,-120.93284,16.196,342.8,7.58,-47.82,8.39,85.46,14.13,35.13,0.67,21.2,2
2019-03-28T07:48:02Z,446,14.3,37.31206,-120.93288,16.195,342.82,7.58,-47.82,8.39,85.45,14.14,35.14,0.68,21.08,2
2019-03-28T07:48:03Z,447,14.34,37.31206,-120.93281,16.195,342.83,7.58,-47.82,8.39,85.45,14.12,35.18,0.68,21.12,2
2019-03-28T07:48:04Z,448,14.29,37.31206,-120.93284,16.195,342.85,7.58,-47.82,8.39,85.44,14.12,35.19,0.67,21.29,2
2019-03-28T07:48:05Z,449,14.25,37.31206,-120.93296,16.195,342.83,7.58,-47.82,8.39,85.44,14.07,35.22,0.66,20.99,2
2019-03-28T07:48:06Z,450,14.34,37.31205,-120.93299,16.195,342.82,7.58,-47.82,8.39,85.44,14.07,35.2,0.64,20.92,2
2019-03-28T07:48:07Z,451,14.38,37.31205,-120.93292,16.196,342.79,7.58,-47.83,8.39,85.43,14.05,35.18,0.64,21.09,2
2019-03-28T07:48:08Z,452,14.41,37.31205,-120.93395,16.196,342.74,7.58,-47.83,8.39,85.43,14.02,35.21,0.62,21.14,2
2019-03-28T07:48:09Z,453,14.25,37.31204,-120.93398,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.32,2
2019-03-28T07:48:10Z,454,14.35,37.31204,-120.93301,16.197,342.63,7.58,-47.84,8.39,85.44,14,35.2,0.64,21.01,2
2019-03-28T07:48:11Z,455,14.25,37.31203,-120.93304,16.197,342.6,7.58,-47.84,8.39,85.44,14.02,35.22,0.64,21.32,2
2019-03-28T07:48:12Z,456,14.27,37.31203,-120.93317,16.197,342.58,7.58,-47.84,8.39,85.45,14.03,35.22,0.64,20.87,2
2019-03-28T07:48:13Z,457,14.34,37.31202,-120.9331,16.197,342.57,7.58,-47.84,8.39,85.46,14.04,35.2,0.62,21.36,2
2019-03-28T07:48:14Z,458,14.34,37.31202,-120.93313,16.198,342.55,7.58,-47.84,8.39,85.47,14.06,35.2,0.63,20.79,2
2019-03-28T07:48:15Z,459,14.39,37.31201,-120.93325,16.198,342.53,7.58,-47.84,8.39,85.48,14.05,35.16,0.63,21.26,2
2019-03-28T07:48:16Z,460,14.27,37.31201,-120.93328,16.198,342.54,7.58,-47.84,8.39,85.49,14.05,35.13,0.63,21.25,2
2019-03-28T07:48:17Z,461,14.43,37.312,-120.93321,16.198,342.56,7.58,-47.84,8.4,85.49,14.03,35.12,0.64,21.12,2
2019-03-28T07:48:18Z,462,14.35,37.312,-120.93324,16.198,342.58,7.58,-47.85,8.4,85.5,14.07,35.1,0.64,20.85,2
2019-03-28T07:48:19Z,463,14.35,37.31199,-120.93337,16.198,342.61,7.58,-47.85,8.4,85.5,14.07,35.06,0.65,20.96,2
2019-03-28T07:48:20Z,464,14.27,37.31199,NA,16.198,342.62,7.58,-47.85,8.4,85.51,14.12,35.05,0.65,21,2
2019-03-28T07:48:21Z,465,14.25,37.31198,-120.93333,16.198,342.64,7.58,-47.86,8.4,85.51,14.13,35.06,0.66,21.04,2
2019-03-28T07:48:22Z,466,14.36,37.31198,-120.93345,16.198,342.66,7.58,-47.87,8.4,85.51,14.21,35.07,0.64,20.91,2
2019-03-28T07:48:23Z,467,14.35,37.31198,-120.93348,16.198,342.68,7.58,-47.88,8.4,85.51,14.25,35.06,0.65,21.24,2
2019-03-28T07:48:24Z,468,14.36,37.31198,-120.93341,16.199,342.67,7.58,-47.88,8.4,85.51,14.24,35.03,0.66,21.1,2
