datetime,record,volts,lat,lon,temp,spCond,pH,pHmV,DOmgL,ODO,turb,fDOM,CHL,NO3,reach,cluster
2019-04-19T11:11:09Z,8400,14.16,37.60697,-121.17356,15.332,281.03,7.86,-67.93,9.95,99.48,16.19,38.12,1.56,35.88,7,2
2019-04-19T11:11:11Z,8401,14.27,37.60716,-121.17331,15.374,280.8,7.84,-67.18,10,100.05,15.25,36.53,1.54,27.93,7,2
2019-04-19T11:11:13Z,8402,14.23,37.60735,-121.17326,15.296,213.14,7.84,-67.22,10.02,100.12,14.17,34.59,1.44,25.29,7,2
2019-04-19T11:11:15Z,8403,14.15,37.60754,-121.173,15.194,204.03,7.84,-67.08,10.04,100.18,13.12,32.71,1.33,24.21,7,2
2019-04-19T11:11:17Z,8404,14.25,37.60774,-121.17295,15.118,204.79,7.83,-66.74,10.08,100.32,12.6,30.83,1.23,20.77,7,2
2019-04-19T11:11:19Z,8405,14.28,37.60794,-121.1727,15.028,209.65,7.83,-66.31,10.14,100.74,12.52,29.16,1.18,19.53,7,2
2019-04-19T11:11:21Z,8406,14.22,37.60815,-121.17267,14.969,215.54,7.82,-65.84,10.2,101.18,12.51,28.23,1.12,19.77,7,2
2019-04-19T11:11:23Z,8407,14.18,37.60836,-121.17255,14.894,217.54,7.81,-65.48,10.24,101.44,12.35,27.61,1.12,20.1,7,2
2019-04-19T11:11:25Z,8408,14.26,37.60858,-121.17245,14.808,215.86,7.81,-65.23,10.28,101.64,12.14,27.14,1.1,19.84,7,2
2019-04-19T11:11:27Z,8409,14.27,37.6088,-121.17237,14.772,212.77,7.8,-64.93,10.32,101.98,12,26.74,1.06,19.77,7,2
2019-04-19T11:11:29Z,8410,14.28,37.60903,-121.17221,14.745,210.04,7.79,-64.32,10.36,102.27,11.95,26.31,1.02,18.75,7,2
2019-04-19T11:11:31Z,8411,14.26,37.60926,-121.17227,14.725,208.46,7.78,-63.73,10.39,102.5,11.89,26.09,1,18.94,7,2
2019-04-19T11:11:33Z,8412,14.19,37.60948,-121.17213,14.7,206.3,7.77,-63.27,10.41,102.69,11.89,26.07,0.98,18.62,7,2
2019-04-19T11:11:35Z,8413,14.15,37.60972,-121.17211,14.677,204.13,7.76,-62.55,10.44,102.86,11.79,26.09,0.99,17.72,7,2
2019-04-19T11:11:37Z,8414,14.23,37.60994,-121.17217,14.677,204.41,7.75,-61.83,10.46,103.06,11.81,26.11,1.02,18.04,7,2
2019-04-19T11:11:39Z,8415,14.25,37.61017,-121.17203,14.699,206.84,7.73,-61.2,10.48,103.29,11.85,26.09,1.07,19.03,7,2
2019-04-19T11:11:41Z,8416,14.15,37.61039,-121.17297,14.742,211.45,7.72,-60.67,10.5,103.53,11.91,26.09,1.1,19.3,7,2
2019-04-19T11:11:43Z,8417,14.19,37.61062,-121.17191,14.783,215.85,7.72,-60.22,10.51,103.71,12.05,26.14,1.11,19.03,7,2
2019-04-19T11:11:45Z,8418,14.33,37.61085,-121.17198,14.802,218.15,7.71,-59.82,10.51,103.78,11.99,26.22,1.11,19.5,7,2
