temp,spCond,pH,ODO,turb,fDOM,CHL,NO3,cluster,SUBcluster
15.296,213.14,7.84,100.12,14.17,34.59,1.44,25.29,2,3
15.194,204.03,7.84,100.18,13.12,32.71,1.33,24.21,2,3
15.118,204.79,7.83,100.32,12.6,30.83,1.23,20.77,2,3
15.028,209.65,7.83,100.74,12.52,29.16,1.18,19.53,2,3
14.969,215.54,7.82,101.18,12.51,28.23,1.12,19.77,2,3
14.894,217.54,7.81,101.44,12.35,27.61,1.12,20.1,2,3
14.808,215.86,7.81,101.64,12.14,27.14,1.1,19.84,2,3
14.772,212.77,7.8,101.98,12,26.74,1.06,19.77,2,3
14.745,210.04,7.79,102.27,11.95,26.31,1.02,18.75,2,3
14.725,208.46,7.78,102.5,11.89,26.09,1,18.94,2,3
14.7,206.3,7.77,102.69,11.89,26.07,0.98,18.62,2,3
14.677,204.13,7.76,102.86,11.79,26.09,0.99,17.72,2,3
14.677,204.41,7.75,103.06,11.81,26.11,1.02,18.04,2,3
14.699,206.84,7.73,103.29,11.85,26.09,1.07,19.03,2,3
14.742,211.45,7.72,103.53,11.91,26.09,1.1,19.3,2,3
14.783,215.85,7.72,103.71,12.05,26.14,1.11,19.03,2,3
14.802,218.15,7.71,103.78,11.99,26.22,1.11,19.5,2,3
14.657,205.16,7.68,103.46,11.73,26,0.96,18.95,2,3
14.402,178.89,7.67,103.27,11.32,24.98,0.8,15.85,2,3
14.363,174.31,7.66,103.65,11.13,24.42,0.82,15.75,2,3
14.442,182.58,7.64,104.16,11.33,24.55,0.92,16.67,2,3
14.465,185.07,7.63,104.22,11.33,24.67,0.92,16.79,2,3
14.489,187.5,7.63,104.26,11.38,24.8,0.93,16.78,2,3
14.511,189.83,7.62,104.29,11.43,24.95,0.95,16.86,2,3
14.541,192.85,7.62,104.34,11.53,25.14,0.96,17.03,2,3
14.573,196.16,7.61,104.39,11.6,25.32,0.98,17.15,2,3
14.611,200.05,7.61,104.44,11.66,25.53,1.05,18.06,2,3
14.707,209.51,7.6,104.56,11.82,25.93,1.13,18.41,2,3
14.379,177.3,7.62,103.61,10.67,25.07,0.82,16.18,2,3
14.351,174.38,7.62,103.68,10.61,24.78,0.83,15.79,2,3
14.342,173.38,7.62,103.73,10.6,24.67,0.82,15.75,2,3
14.333,172.69,7.62,103.78,10.6,24.57,0.82,15.48,2,3
14.327,172.04,7.62,103.83,10.6,24.5,0.82,15.46,2,3
14.321,171.49,7.62,103.88,10.61,24.43,0.81,15.53,2,3
14.315,170.91,7.62,103.92,10.54,24.36,0.81,15.3,2,3
14.309,170.42,7.62,103.95,10.48,24.32,0.81,15.22,2,3
14.303,169.81,7.62,103.98,10.49,24.28,0.8,15.2,2,3
14.296,169.24,7.62,104,10.52,24.23,0.8,15.22,2,3
14.29,168.63,7.62,104.02,10.54,24.2,0.78,15.06,2,3
14.284,168.13,7.62,104.04,10.46,24.16,0.78,15.03,2,3
14.278,167.58,7.61,104.05,10.39,24.13,0.76,15.25,2,3
14.274,167.03,7.61,104.06,10.42,24.09,0.77,15.28,2,3
14.268,166.56,7.61,104.07,10.38,24.07,0.77,15.01,2,3
14.266,166.29,7.61,104.08,10.35,24.03,0.77,14.99,2,3
14.258,165.51,7.61,104.09,10.29,24.01,0.75,14.92,2,1
14.253,164.91,7.61,104.09,10.27,23.99,0.74,15.05,2,1
14.247,164.41,7.61,104.1,10.25,23.98,0.74,14.95,2,1
14.243,163.91,7.61,104.11,10.23,23.96,0.73,14.7,2,1
14.24,163.61,7.6,104.12,10.19,23.95,0.73,14.83,2,1
14.238,163.31,7.6,104.17,10.24,23.93,0.72,14.58,2,1
14.242,163.55,7.6,104.2,10.24,23.95,0.72,14.67,2,1
14.249,164.28,7.6,104.23,10.26,23.96,0.72,14.47,2,1
14.258,165.03,7.6,104.27,10.32,23.98,0.73,14.53,2,1
14.267,166.05,7.59,104.31,10.36,24.01,0.74,14.65,2,3
14.279,167.06,7.59,104.34,10.34,24.06,0.77,14.72,2,3
14.296,168.63,7.59,104.4,10.41,24.11,0.79,14.78,2,3
14.311,170.37,7.59,104.44,10.41,24.15,0.81,14.78,2,3
14.325,171.65,7.59,104.47,10.44,24.2,0.81,15.34,2,3
14.336,172.88,7.59,104.48,10.4,24.26,0.82,15.53,2,3
14.347,173.8,7.59,104.5,10.36,24.28,0.83,15.64,2,3
14.354,174.67,7.59,104.5,10.37,24.32,0.83,15.8,2,3
14.363,175.39,7.59,104.51,10.39,24.34,0.82,15.85,2,3
14.367,175.87,7.58,104.5,10.41,24.36,0.82,15.78,2,3
14.37,176.11,7.58,104.48,10.4,24.4,0.8,15.83,2,3
14.371,176.31,7.58,104.46,10.39,24.45,0.8,15.85,2,3
14.376,176.7,7.58,104.45,10.35,24.49,0.78,15.74,2,3
14.378,176.98,7.58,104.44,10.34,24.55,0.77,15.79,2,3
14.381,177.26,7.58,104.42,10.37,24.59,0.77,15.67,2,3
14.377,177.06,7.58,104.37,10.37,24.67,0.79,15.49,2,3
14.378,177.17,7.58,104.37,10.33,24.69,0.8,15.45,2,3
14.382,177.65,7.58,104.37,10.38,24.72,0.81,15.43,2,3
14.389,178.27,7.58,104.37,10.46,24.75,0.83,15.63,2,3
14.396,179.22,7.58,104.39,10.51,24.77,0.85,15.78,2,3
14.479,187.94,7.58,104.51,10.73,25.1,0.93,16.41,2,3
14.528,192.98,7.57,104.49,10.97,25.41,0.94,17.06,2,3
14.548,195.15,7.58,104.4,11.21,25.62,0.97,17.34,2,3
14.549,195.33,7.58,104.4,11.19,25.63,0.97,17.35,2,3
14.55,195.37,7.58,104.38,11.15,25.64,0.97,17.4,2,3
14.55,195.38,7.58,104.37,11.17,25.65,0.96,17.4,2,3
14.55,195.35,7.58,104.36,11.17,25.63,0.96,17.42,2,3
14.548,195.3,7.58,104.35,11.15,25.64,0.96,17.32,2,3
14.545,195.06,7.58,104.33,11.1,25.64,0.96,17.39,2,3
14.544,194.95,7.58,104.32,11.12,25.65,0.95,17.21,2,3
